 updated model
   28.28427       28.28427       28.28427    
          13   2.303200      -14.09010      -6.207837    
          13   10.91058       12.56207      -12.48573    
          40   10.14431       10.97311      -8.026365    
          29   9.093529      -11.61396      -5.641028    
          29   11.46108      -9.876080      -1.054264    
          29   8.199953       6.401617      -6.252462    
          29  -12.94964       7.649635      -12.29585    
          29  -11.09211      -11.41914      -2.231236    
          29   13.01009      -8.369082      -4.635274    
          13  -12.72656      -13.89446       1.169330    
          13  -9.130013       12.27184      -6.635752    
          13  -12.36289      -6.984288       2.132714    
          13  -13.00886      -7.873886      -5.234598    
          40  -12.68891      -10.37065      -6.070686    
          29  -5.373716      -11.85833       1.257837    
          29  -8.166783       10.94511      -2.326629    
          29  -13.68685       8.600358      -7.814093    
          13  -5.270338       12.05953       1.534565    
          13  -6.518571      -13.36766      -2.200235    
          13  -10.99852      -12.36735       6.377560    
          40  -3.411730      -13.30134      -1.507839    
          29  -2.866505      -10.47276       1.883309    
          29  -1.536433      -13.36831      -3.270856    
          29  -3.158045      -13.03920       1.069917    
          13  -4.211533      -11.41880      -2.817503    
          13 -0.9674048      -11.76955       1.642389    
          29  0.9334266      -8.444674      2.0710379E-02
          29   1.717631      -12.51830       2.650611    
          13  0.6817027      -7.612212      -4.567252    
          13   3.767473      -10.47159      -4.781843    
          13   1.643310      -12.48734      -2.478989    
          13 -0.6165108      -8.172364      -1.682518    
          29   9.246858      -9.794100      -1.807322    
          29   7.864913      -12.28140      -2.886199    
          29   3.317321      -8.946220      -1.143961    
          29   3.434422      -13.92438     -0.2083802    
          13   7.008511       13.97320      0.8275479    
          13   9.955614      -9.597165      0.7946519    
          13   1.450766      -12.69371      0.3377326    
          13   10.42368      -13.89133      -2.311707    
          13   2.937930      -12.90989      -4.299033    
          29   10.59647      -9.984198      -5.052882    
          29  -9.731258      -9.072393      -3.666262    
          29  -12.51252      -9.738036      -3.386701    
          13   10.87516       10.78590      -4.783268    
          13   10.67039      -8.111543      -2.374631    
          40  -12.33269      -10.84812     -0.3593154    
          29  -12.53761      -11.16509      -8.469590    
          29  -10.36878      -4.640996       2.243684    
          13  -11.19609      -5.604129      -1.995620    
          13  -8.254461      -9.015708      -6.211078    
          13  -10.70908      -8.791705      -6.201710    
          13  -10.64523      -8.597735       1.638096    
          13   12.83813      -12.26110      -2.377106    
          40  -9.041200      -6.737249      -2.278368    
          29  -6.152093      -9.638529      -5.158455    
          29  -4.963058      -8.622391     -0.8202204    
          13  -11.31660      -11.90371      -4.690330    
          13  -10.16048      -6.156636      0.4177919    
          13  -9.439702      -3.525290      -2.629392    
          13  -7.573810      -6.653540      -6.639734    
          29  -3.324662      -8.425602      0.9000202    
          29  -1.728230      -10.74477      -1.938477    
          29  -3.683522      -10.51073     -0.2752563    
          29  0.2081207      -5.042834      -3.849308    
          13  -6.114208      -9.638061      -2.795164    
          13  -7.298898      -7.720821      -4.311129    
          13  -2.980249      -8.551476      -2.059355    
          13  0.6300686      -10.78561      -1.364192    
          13  -9.711723      -7.139376      -7.558267    
          13  -3.086405      -5.446838      -4.437528    
          29   1.311150      -4.166632      -1.994839    
          29   2.426220      -5.759379      -3.981086    
          29   1.587576      -7.875131      -2.353627    
          29   3.368754      -8.418748      -3.875470    
          29  -1.735324      -7.464299      -3.958625    
          13  0.6326250      -6.095123      6.5952092E-02
          13   3.033290      -6.215865     -0.3687931    
          29   6.715292      -5.544043      -2.841937    
          29   5.773437      -8.205363       2.405095    
          13   5.861246      -7.105685     -0.9679288    
          13   5.328933      -9.967205      -1.829818    
          13   5.674925      -9.338360      -4.195156    
          13   7.632423      -4.352417      -4.692575    
          40   13.03460      -8.416024       1.675191    
          40   13.87205      -10.53603      0.5115893    
          29   7.757979      -8.677993     -0.3595471    
          29   7.428934      -1.111760      -5.033535    
          13  -13.26518      -13.04217      -1.639102    
          13  -13.40455      -6.455076      -7.369282    
          13   9.657882      -7.713768      -4.424723    
          13   7.717052      -8.221194      -2.816623    
          13   12.99508      -1.103489       1.601170    
          40  -10.89929      -6.266309      -5.372056    
          29  -12.85812      -1.021675      -2.232180    
          29  -11.77494      -1.778530      -4.253734    
          29  -12.15389      -3.528153      -1.915228    
          29  -10.63031     -0.2720798     -0.2538384    
          13  -13.67333      -2.275167      0.4276415    
          13  -10.32194      -1.411337      -2.513980    
          40  -9.768227      -2.747313      -4.863455    
          40  -4.309128      -6.188159       1.773137    
          29  -8.912305      -1.811620     -0.7670805    
          29  -7.186531      -5.267876      -2.150031    
          29  -6.982843      -7.713569      -1.928947    
          13  -5.423759      -5.667388     -0.5233914    
          13  -8.020118     -0.5145035      -2.700732    
          13  -6.074842      -1.988926      -3.108004    
          13  -6.294867      -3.224749     -0.8680485    
          40 -0.9841232      -4.058179      -1.714095    
          29  -1.903401     -0.8613174      -5.908558    
          29  -5.750689      -4.403896      -3.841821    
          29  -4.354440      -4.162784      -1.909018    
          29  -1.996808      -5.059043      0.2540211    
          13  -3.421972      -2.419152      -3.538920    
          29   4.040559      -1.686208      -2.417738    
          29  0.9386063       1.388736      -2.261612    
          13  -1.109255      -2.708036      -3.696989    
          13   3.122607      -2.644093      -4.521516    
          13   3.787221      -4.527638      -2.607370    
          13  -4.577439     -0.9422917      -1.676328    
          13   1.042073      -1.776683      -2.344464    
          29   5.388972      0.4511812      -3.014891    
          29   9.737032      -1.621726      -1.504072    
          13   6.033035      -2.548291      -3.353569    
